fährt ab	fuhr ab	ist abgefahren	abfahren	-
erinnert	erinnerte	hat erinnert	erinnern (sich)	-
erklärt	erklärte	hat erklärt	erklären	-
erlaubt	erlaubte	hat erlaubt	erlauben	-
erreicht	erreichte	hat erreicht	erreichen	-
erzählt	erzählte	hat erzählt	erzählen	-
isst	aß	hat gegessen	essen	-
fährt	fuhr	ist gefahren	fahren	-
fällt	fiel	ist gefallen	fallen	-
fehlt	fehlte	hat gefehlt	fehlen	-
feiert	feierte	hat gefeiert	feiern	-
sieht fern	sah fern	hat ferngesehen	fernsehen	-
findet	fand	hat gefunden	finden	-
fliegt	flog	ist geflogen	fliegen	-
fragt	fragte 	hat gefragt	fragen	-
freut	freute	hat gefreut	freuen (sich)	-
frühstückt	frühstückte	hat gefrühstückt	frühstücken	-
fühlt	fühlte 	hat gefühlt	fühlen (sich)	-
gibt	gab	hat gegeben	geben	-
gefällt	gefiel	hat gefallen	gefallen	-
geht	ging	ist gegangen	gehen	-
gehört	gehörte	hat gehört	gehören	-
gewinnt	gewann 	hat gewonnen	gewinnen	-
glaubt	glaubte	hat geglaubt	glauben	-
grillt	grillte	hat gegrillt	grillen	-
hält	hielt	hat gehalten	halten (sich)	-
hängt	hängte	hat gehängt 	hängen	-
hängt	hing	hat gehangen	hängen	-
heiratet	heiratete	hat geheiratet	heiraten	-
heißt	hieß	hat geheißen	heißen	-
hilft	half	hat geholfen	helfen	-
holt	holte	hat geholt	holen	-
hört	hörte	hat gehört	hören	-
interessiert	interessierte	hat interessiert	interessieren (sich)	-
kauft 	kaufte	hat gekauft	kaufen	-
kennt	kannte	hat gekannt	kennen	-
lernt kennen	lernte kennen	hat kennengelernt	kennenlernen	-
klopft 	klopfte	hat geklopft	klopfen	-
kocht	kochte	hat gekocht	kochen	-
kommt	kam	ist gekommen	kommen	-
korrigiert	korrigierte	hat korrigiert	korrigieren	-
kostet	kostete	hat gekostet	kosten	-
kümmert	kümmerte	hat gekümmert	kümmern (sich)	-
lacht	lachte	hat gelacht	lachen	-
lässt	ließ	hat gelassen	lassen	-
läuft	lief	ist gelaufen	laufen	-
lebt	lebte	hat gelebt	leben	-
legt	legte	hat gelegt	legen	-
leiht	lieh	hat geliehen	leihen	-
